ITEMID	CONFIGID	STOCK	FECHAPROX
316918		33	17/07/2020
321136R01		22	
321136R02		19	
324190		30	04/07/2020
324281		57	04/07/2020
324281UK		59	04/07/2020
324281UKR01		11	04/07/2020
324563		20	
345381		4	
345462		56	
345509		26	26/06/2020
345509D		3	04/07/2020
346011		19	17/03/2020
346028		108	14/03/2020
346109		17	26/06/2020
346115		1	14/03/2020
346230		0	10/03/2020
346230UK		0	
346246		10	
346357		14	29/05/2020
346357UK		14	
346382		75	14/03/2020
346382UK		76	
346573		56	04/07/2020
346596		48	14/03/2020
346724		0	10/03/2020
346766		13	14/03/2020
346810		2	
351822		6	14/03/2020
357960LT		6	
371102		9	08/05/2020
371235		27	04/07/2020
372095		34	04/07/2020
372284		96	04/07/2020
372361		59	04/07/2020
372408		73	04/07/2020
372510		107	04/07/2020
373067		0	24/04/2020
373075		0	24/04/2020
373084		14	16/03/2020
373091		38	24/04/2020
373101		93	
373101D		1	04/07/2020
373123		66	14/03/2020
373123D			04/07/2020
373142		32	04/07/2020
373142D		0	04/07/2020
373250		54	
373250D			04/07/2020
373261		21	24/04/2020
373261D		0	04/07/2020
373342		26	24/04/2020
373342D			04/07/2020
373378		34	14/03/2020
373378D		1	04/07/2020
373416		40	14/03/2020
373416D		0	
373437		1	14/03/2020
373437D		1	04/07/2020
373579		5	16/03/2020
373579UK		7	
373581		27	26/06/2020
373581UK		27	
373599		184	
373599UK		188	
373614		65	
373614UK		70	
373629		64	
373629UK		4	04/07/2020
373685		11	14/03/2020
373685UK		11	
374925		1	
375099		43	
375213		13	
375325		7	
375438		3	
375509		72	04/07/2020
375618		43	14/03/2020
376370		89	
376484		28	
377101		52	14/03/2020
377485		1	14/03/2020
377523		9	14/03/2020
377934		44	14/03/2020
385314		87	16/03/2020
385415		9	14/03/2020
386113		18	14/03/2020
386279		17	04/07/2020
387218		11	04/07/2020
391218		107	14/03/2020
391329		20	29/05/2020
391329UK		23	
391540		33	26/06/2020
391653		17	14/03/2020
391653R01		59	
391653R02		26	04/07/2020
391870		58	04/07/2020
392742		14	
392856		18	18/03/2020
394318		22	14/03/2020
394460		4	14/03/2020
394460R01		11	
394529		25	01/05/2020
394647		4	14/03/2020
394782		0	10/03/2020
394782R01		6	
394782R02		0	
394834		34	29/05/2020
397319		26	
397402		25	
400-00		1	
400-002		1	
400-01/03		1	
400-01/200		2	
400-02/02 DER		2	
400-02/02 IZDA		2	
400-05		1	
400-05/02		1	
400-15/01		1	
400-43		1	
400-50/02		1	
404-01/180		1	
404-22		1	
411-00		0	04/07/2020
411-08		6	
411-50		1	
412-00		1	
412-01/200		1	
412-02/01		2	
412-03/01		1	
412-04/01		2	
412-07/01		2	
412-08/01		2	
412371		12	14/03/2020
415-00		0	
415-01/150		1	
415-02		2	
415-08		1	
415801		156	04/07/2020
415801UK		156	04/07/2020
415801UKR01		39	04/07/2020
420-00		1	04/07/2020
420-01/200		1	
420-02		2	
420-04		1	
420-08/01		1	
421862		23	17/04/2020
428605		23	04/07/2020
428605P		25	04/07/2020
429126		22	14/03/2020
429852		85	
429948		31	
431851		39	04/07/2020
431862		16	14/03/2020
434-00		1	
434-01/180		2	
434-02/01		2	
434-03		1	
434-04		3	
434-08		1	
434-12		1	
436-00		1	
436-02		3	
436-03		1	
436-04		1	
436-07		2	
436218		39	04/07/2020
436462		14	04/07/2020
436462UK		14	04/07/2020
436631		23	
436-80		1	
438-00		1	
438-01/180		1	
438-02	25	2	
438-03		1	
438-04		1	
438-21	366	2	
438-24	366	1	
438-50		1	
440-00		1	
440-01/270		1	
440-04		1	
440-04/2		1	
440-08/01		1	
440-14/90		1	
440-54/01		1	
442522		35	
442522UK		35	
442637		17	04/07/2020
442637UK		17	04/07/2020
442749		25	04/07/2020
442749UK		33	04/07/2020
442851		54	04/07/2020
442963		8	10/04/2020
442963UK		10	
443196		40	04/07/2020
443-55		2	
446-00			
446-01/200		2	
446-01/300		1	
446-15/02		1	
447510		19	08/05/2020
452193		22	04/07/2020
453108		40	04/07/2020
453108UK		44	04/07/2020
453294		24	10/04/2020
453294UK		27	
456120		16	14/03/2020
456120D		0	10/03/2020
456231		9	14/03/2020
456231D		0	10/03/2020
456231R01		4	
456342		63	14/03/2020
456342D		38	04/07/2020
456453		76	14/03/2020
456453D		3	29/05/2020
456453R01		87	04/07/2020
456453R02		0	
457491		6	24/04/2020
461831		18	
461975		54	04/07/2020
462812		14	14/03/2020
462952		16	
463-00		0	
463-02		0	
463-05		0	
463-20		0	
467235		17	
467235UK		18	
468174		42	04/07/2020
468210		58	
468210UK		65	
468210UKR01		120	04/07/2020
468227		329	04/07/2020
468227UK		365	04/07/2020
472684		127	26/06/2020
473217		3	
473228		16	
473859		2	
475168		1	08/05/2020
475-20		1	
475273		26	14/03/2020
475416		25	10/04/2020
475416UK		25	
475592		18	10/04/2020
475592UK		18	
480152		10	14/03/2020
480531	4834	27	04/07/2020
480531	S/A	27	04/07/2020
481016		28	
481016D			04/07/2020
481541		15	01/05/2020
481541D		1	04/07/2020
482033		14	10/04/2020
482164		9	10/04/2020
4834		74	04/07/2020
483490		12	
48R03		0	
48R06		8	04/07/2020
48R09		2	
490275		229	04/07/2020
490275UK		230	
490633		46	26/06/2020
492061		10	
492061UK		10	
492753		60	04/07/2020
493045		41	04/07/2020
493045UK		41	04/07/2020
493168		47	14/03/2020
493168UK		47	
493826		69	04/07/2020
493826UK		69	04/07/2020
493826UKR01		40	
