referencia;precio
0004024;187,20 
0004029;27,30 
0004030;46,80 
0004031;48,75 
0004045;161,85 
0004046;198,90 
0004049;113,10 
7160;162,26 
7161;139,66 
7162;146,90 
7163;49,26 
7164;76,38 
5592;94,77 
5593;81,24 
5500;131,50 
5501;122,90 
5502;98,40 
5503;194,80 
5508;218,20 
5513;177,00 
5515;22,10 
5516;22,10 
5517;30,60 
6150;131,50 
6151;218,20 
6152;98,40 
6153;177,00 
6850;76,72 
6851;88,36 
6425;62,24 
6426;114,12 
6427;62,24 
6428;114,12 
6520;38,60 
6521;38,60 
6522;38,60 
6523;38,60 
6255;259,62 
6256;327,74 
5935;54,60 
5936;33,15 
5970;54,60 
5971;33,15 
5973;77,28 
5974;60,06 
5975;50,28 
4082;419,02 
4087;411,96 
4088;250,36 
4487;393,28 
4488;237,92 
4490;400,35 
4492;237,92 
4493;412,80 
4494;405,72 
4495;246,23 
7175;48,50 
7176;67,06 
7177;81,24 
7197;48,50 
7198;67,06 
7199;81,24 
5949;86,12 
5950;72,16 
1334;191,58 
1335;255,20 
1336;155,62 
1880;230,00 
1881;152,00 
1882;122,00 
1883;158,00 
1885;70,00 
5874;150,00 
7296;59,98 
7297;59,98 
7298;108,34 
7299;108,34 
7300;148,34 
7301;148,34 
6545;91,00 
6546;109,20 
6547;154,80 
1150;173,55 
1151;173,55 
1152;120,90 
1153;138,45 
1154;44,85 
1155;79,94 
1156;111,15 
1157;113,10 
1158;136,50 
1159;239,85 
1130;185,25 
1131;193,06 
1132;126,75 
1133;148,20 
1134;46,80 
1135;83,85 
1136;116,99 
1137;116,99 
1138;144,30 
1139;267,16 
1170;185,25 
1171;193,06 
1172;126,75 
1173;148,20 
1174;46,80 
1175;83,85 
1176;116,99 
1177;116,99 
1178;144,30 
1179;267,16 
6505;32,80 
6506;32,80 
6740;83,80 
6741;83,80 
6742;92,90 
6743;92,90 
6744;65,70 
6745;65,70 
6746;74,90 
6747;74,90 
6247;179,73 
6249;55,81 
7200;54,88 
7201;56,60 
7202;71,60 
7203;81,46 
7204;54,88 
7205;56,60 
7206;71,60 
7207;81,46 
7208;54,88 
7209;56,60 
7210;71,60 
7211;81,46 
7212;54,88 
7213;56,60 
7214;71,60 
7215;81,46 
7216;2,14 
7217;2,14 
7218;2,14 
7219;3,00 
7220;3,00 
7221;3,00 
7222;3,44 
7223;3,44 
7224;3,44 
1326;49,00 
1327;52,65 
1400;215,60 
1401;245,70 
C0071;26,46 
C0072;26,46 
C0073;41,30 
C0074;41,30 
C0075;26,46 
C0076;26,46 
C0077;41,30 
C0078;41,30 
C0079;26,46 
C0080;26,46 
6865;59,90 
6866;59,90 
6400;44,90 
6401;44,90 
6402;63,00 
6403;63,00 
6820;46,90 
6821;46,90 
6830;16,20 
6831;16,20 
6832;16,20 
6833;16,20 
6390;28,20 
6391;28,20 
6392;22,10 
6393;22,10 
6394;14,10 
6397;14,10 
6855;17,40 
6856;17,40 
6857;25,90 
6858;25,90 
6859;17,40 
6860;17,40 
6861;25,90 
6862;25,90 
7080;19,90 
7081;19,90 
