Family|Reference|Descripition|UnitWeight| UnitLength|UnitHigh|UnitWidth|Dimiter| ExportHigh|ExportWidth|ExportLenght|ExportWeight|ExportVolume|IndividualBoxHigh|IndividualBoxWiidth|IndividualBoxLengh| IndividualBoxVolume|IndividualBoxWeight|IP|ElectricClass|BulbIncluded|BulbDescription|Driver/ballst/transformer_Included |Driver/Transformer/Ballast_Description|Material|Quantity|PVP|Barcode|CustumDutyCode
4         |43404               |GAS EMPOTRABLE BLANCO GU10/MR16 50W                                                                 |,1000|85,000000|55,000000|,000000|,000000|330,000000|200,000000|470,000000|5,000000|,031020|65,000000|90,000000|95,000000|,000556|,100000|20                       ||0|1 X GU10/MR16 50W                                                                                   |0||CUERPO DE METAL                                                                                     |Available|13,400000|8421776118362                 |9405109890          
4         |43405               |GAS EMPOTRABLE NEGRO GU10/MR16 50W                                                                  |,1000|85,000000|55,000000|,000000|,000000|330,000000|200,000000|470,000000|5,000000|,031020|70,000000|100,000000|90,000000|,000630|,100000|20                       |III |0|1 X GU10/MR16 50W                                                                                   |0||METAL                                                                                               |Available|13,400000|8421776182417                 |9405109890          
4         |43406               |RADON EMPOTRABLE CUAD. NEGRO GU10/MR16/LED                                                          |,1000|92,000000|92,000000|25,000000|,000000|255,000000|520,000000|250,000000|5,000000|,033150|46,000000|115,000000|100,000000|,000529|,100000|20                       |III |0|1 x GU10 50W/MR16 50W/MODULO COB LED 8W                                                             |0|1 x GU10 50W/MR16 50W/MODULO COB LED 8W                                                             |ALUMINIO                                                                                            |Available|13,100000|8421776182400                 |9405109890          
4         |43407               |RADON-2 EMPOTRABLEORIENT CUAD NEGRO 2xGU10/MR16/L                                                   |,2000|250,000000|24,000000|92,000000|,000000|250,000000|390,000000|245,000000|10,000000|,023888|50,000000|190,000000|120,000000|,001140|,200000|20                       |III |0|2 x GU10 50W / MR16W/MODULO COB LED 8W                                                              |0||ALUMINIO                                                                                            |Available|26,500000|8421776182622                 |9405109890          
4         |43408               |RADON ORIENTABLE EMP.REDONDO NEGRO GU10/MR16/LED                                                    |,1500|92,000000|27,000000|92,000000|92,000000|255,000000|520,000000|250,000000|7,500000|,033150|45,000000|100,000000|115,000000|,000518|,150000|20                       |III |0|1xGU10 50W / MR16 50W/MODULO COB LED  8W                                                            |0|PORTALAMPARAS GU10/MR16/DRIVER                                                                      |ALUMINIO                                                                                            |Available|13,100000|8421776182639                 |9405109890          
4         |43409               |NEON EMPOTRABLE REDONDO NEGRO 1xGU10/MR16/LED                                                       |,0800|78,000000|41,000000|78,000000|76,000000|295,000000|180,000000|470,000000|4,000000|,024957|55,000000|90,000000|80,000000|,000396|,080000|20                       |III |0|1 x GU10 50W/MR16 50W/MODULO LED 8W                                                                 |0|TRANSFORMADOR/DRIVER                                                                                |ALUMINIO                                                                                            |Available|7,900000|8421776182646                 |9405109890          
4         |43410               |NEON EMPOTRABLE CUADRADO NEGRO 1xGU10/MR16/LED                                                      |1,0000|75,000000|45,000000|75,000000|,000000|295,000000|180,000000|470,000000|50,000000|,024957|90,000000|90,000000|60,000000|,000486|1,000000|20                       |III |0|1 x GU10 50W/MR16 50W/MODULO LED 8W                                                                 |0|TRANSFORMADOR/DRIVER                                                                                |43065 PORTALÁMPARAS GU10                                                                            |Available|7,900000|8421776182653                 |9405109890          
4         |43411               |ARGON EMPOTRABLE RED NEGRO GU10/MR16/LED                                                            |,1000|114,000000|40,000000|114,000000|114,000000|245,000000|270,000000|595,000000|5,000000|,039359|130,000000|130,000000|50,000000|,000845|,100000|20                       |III |0|1 x GU10 50W/MR16 50W/MODULO COB LED 8W                                                             |1|TRANSFORMADOR/DRIVER                                                                                |ALUMINIO                                                                                            |Available|15,400000|8421776182660                 |9405109890          
4         |43412               |ARGON EMPOTRABLE  CUADRADO NEGRO GU10/MR16/LED                                                      |,1000|115,000000|40,000000|115,000000|,000000|245,000000|270,000000|595,000000|5,000000|,039359|60,000000|130,000000|130,000000|,001014|,100000|20                       |III |0|1 x GU10 50W/MR16 50W/MODULO LED 8W                                                                 |1|TRANSFORMADOR/DRIVER                                                                                |ALUMINIO                                                                                            |Available|15,400000|8421776182677                 |9405109890          
4         |43413               |ARGON-2 EMPOTRABLE CUADR ORIENT NEGRO 2xGU10/MR16                                                   |1,0000|232,000000|40,000000|115,000000|,000000|270,000000|450,000000|245,000000|20,000000|,029768|240,000000|50,000000|130,000000|,001560|1,000000|20                       |III |0|2 x GU10 50W/2 x MR16 50W/2 x MODULO LED 8W                                                         |1|TRANSFORMADOR/DRIVER                                                                                |ALUMINIO                                                                                            |Available|30,900000|8421776182684                 |9405109890          
