CODE;DESCRIPTION;EAN;STOCK;ETA;ESTIMATED STOCK;ERROR;
307800;FOCO COMPACT BL 30W 845 CARRIL MONOF;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
307900;FOCO COMPACT BL 30W 830 CARRIL MONOF;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
309100;FOCO COMPACT NG 30W 860 CARRIL MONOF;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
309200;FOCO COMPACT NG 30W 840 CARRIL MONOF;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
309300;FOCO COMPACT NG 30W 830 CARRIL MONOF;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
310100;FOCO COMPACT BL 32W 860 CARRIL TRIF;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
310200;FOCO COMPACT BL 32W 845 CARRIL TRIF;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
310300;FOCO COMPACT BL 32W 830 CARRIL TRIF;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
340029;-EMPOTRABLE FASTFIX ROUND 18W 3000º;8426107059055;20;;;;
340080;-EMPOTRABLE FASTFIX ROUND 18W 4000K;8426107340085;19;;;;
342142;-PLAF0 35x35 LATER TIFFANY NARANJA R7S**;8426107342126;54;;;;
343135;-PLAFON 33x33 ESCAMA PISTACHO R7S**;8426107343352;17;;;;
345139;-PLAFON 33x33 MARCO ACRÍLICO NARANJA**;8426107345325;11;;;;
3526;TAPA CAJA PLÁSTICO REDONDA PENDELS SILI;;150;;;;
361010;COLGANTE 1L E27 EPSILON;8426107006462;150;;;;
361030;COLGANTE 3L EPSILON;8426107006479;150;;;;
361050;COLGANTE 5L EPSILON;8426107006486;150;;;;
361490;SOBREMESA 1L EPSILON;8426107006493;6;;;;
365089;PANEL 24W 60X30 AL 2200LU 4000K AL COMBI;8426107165138;41;;;;
365090;EMP LED HOLE RED WH 18-1500-840;8426107005045;150;;;;
365090R;HOLE RED WH 18W-840 (IMP5741 ó superior);8426107013590;0;;;No info / No hay informacion de fecha ni cantidad estimada;
365091;EMP LED HOLE RED WH 18-1625-855;8426107030214;150;;;;
365092;EMP LED HOLE RED WH 18-1425-827;8426107030221;100;;;;
365092R;PANEL EMP 18W BL RED 1500LU 2700K FASTSL;8426107013620;150;;;;
365093;PANEL EMP 4W BL RED IP44 190LU 3000K FAS;8426107852137;150;;;;
365094;PANEL EMP 18W BL RED 1500LU 3000K IP44 F;8426107359735;150;;;;
365095;PANEL EMP 4W BL RED 250LU 4000 IP44 FAS;8426107852120;150;;;;
365096;PANEL EMP18W BL RED 1500LU 4000K IP44 FS;8426107360724;150;;;;
365099;PANEL 60X30 24W 2200 4000K+SUP BL COMBI;8426107963277;0;;;No info / No hay informacion de fecha ni cantidad estimada;
365101;-DOWNLIGHT COB SIGNAL 15W+3W  4000K;8426107963802;73;;;;
365102;-DOWNLIGHT COB SIGNAL SQUAR 15W+3W 4000K;8426107963550;100;;;;
366100;EMP LED HOLE CUA WH 6-450-840;8426107006615;0;;;No info / No hay informacion de fecha ni cantidad estimada;
366101;EMP LED HOLE CUA NK 6-450-840;8426107006622;46;;;;
366102;EMP LED HOLE CUA WH 6-430-827;8426107006639;150;;;;
366103;EMP LED HOLE CUA NK 6-430-827;8426107006646;92;;;;
366104;EMP LED HOLE CUA WH 6-470-855;8426107006653;85;;;;
366105;EMP LED HOLE CUA NK 6-470-855;8426107006660;150;;;;
366106;EMP LED HOLE RED WH 12-910-840;8426107006677;150;;;;
366107;EMP LED HOLE RED NK 12-910-840;8426107006684;100;;;;
366108;EMP LED HOLE RED WH 12-865-827;8426107006691;150;;;;
366108R;PANEL EMP 12W BL RED 780LU 2700K FAST;8426107013637;0;;;No info / No hay informacion de fecha ni cantidad estimada;
366109;EMP LED HOLE RED NK 12-865-827;8426107006707;150;;;;
366110;EMP LED HOLE RED WH 12-955-855;8426107006714;79;;;;
366111;EMP LED HOLE RED WH 6-450-840;8426107006547;150;;;;
366112;EMP LED HOLE RED NK 6-450-840;8426107006554;150;;;;
366113;EMP LED HOLE RED WH 6-430-827;8426107006578;150;;;;
366114;EMP LED HOLE NK RED 6-470-855;8426107006585;150;;;;
366115;EMP LED HOLE RED WH 6-470-855;8426107006592;150;;;;
366116;EMP LED HOLE RED NK 6-430-827;8426107006608;100;;;;
366117;EMP LED HOLE RED NK 12-955-855;8426107006721;100;;;;
366118;EMP LED HOLE CUA WH 12-910-840;8426107006738;150;;;;
366119;EMP LED HOLE CUA NK 12-910-840;8426107006745;150;;;;
