Familia;Referencia;Descripción;Acabado;Fuente de luz; Precio
ANTARES;7311;Lámpara 3 Luces;Negro;LED 24W - 3000K - 1770 LMS - 220-240V~50/60Hz;190,66
ARCS;6540;Aplique exterior LED  IP54;Gris Oscuro;LED 6W - 3000K - 450 LMS - 220-240V~50/60Hz;74,80
ARCS;6541;Aplique exterior LED  IP54;Arena Blanco;LED 6W - 3000K - 450 LMS - 220-240V~50/60Hz;74,80
AREA;6640;Plafón  ;Blanco Arena;7 x GX53 (No Incl.);188,68
AREA;6641;Plafón  ;Blanco Arena;5 x GX53 (No Incl.);154,98
AREA;6642;Plafón  ;Blanco Arena;4 x GX53 (No Incl.);86,92
AREA;6643;Plafón  ;Blanco Arena;2 x GX53 (No Incl.);49,86
AREA;6644;Plafón  ;Blanco Arena;1 x GX53 (No Incl.);35,72
ARENA;5040R;***DES***Plafón LED CR. Grande Red. IP44;Blanco;LED 60W - 3000K-6500K - 4800 LMS - 220-240V~50/60Hz;214,29
ARENA;5041R;***DES***Plafón LED CR Mediano Red IP44;Blanco;LED 40W - 3000K-6500K - 3200 LMS - 220-240V~50/60Hz;158,94
ARENA;5042R;***DES***Plafón LED CR Pequeño Red IP44;Blanco;LED 24W - 3000K-6500K - 1920 LMS - 220-240V~50/60Hz;117,12
ARENA;5043R;***DES***Plafón LED  CR. Grande Cuad IP44;Blanco;LED 60W - 3000K-6500K - 4800 LMS - 220-240V~50/60Hz;229,09
ARENA;5044R;***DES***Plafón LED CR. Mediano Cuad. IP44;Blanco;LED 40W - 3000K-6500K - 3200 LMS - 220-240V~50/60Hz;164,09
ARENA;5045R;***DES***Plafón LED CR. Pequeño Cuad IP44;Blanco;LED 24W - 3000K-6500K - 1920 LMS - 220-240V~50/60Hz;109,39
ARENA;5046;***DES***Sobremesa LED ;Cromo;LED 12W - 3000K - 1080 LMS - 100-240V~50/60Hz;70,78
ARENA;5047;***DES***Aplique LED;Blanco;LED 8W - 3000K - 640 LMS - 100-240V~50/60Hz;49,55
ARGENTA;4843E;***DES***Lámpara ;Negro;5 x E27 (No Incl.);144,87
ARGENTA;4846E;***DES***Plafón ;Blanco;5 x E27 (No Incl.);129,01
ARGENTA;4848E;***DES***Plafón ;Negro;5 x E27 (No Incl.);129,01
ARGENTA;4849E;***DES***Plafón ;Negro;3 x E27 (No Incl.);95,20
ARGI;5211;***DES***Lámpara ;Oxido Marrón;3 x E27 (No Incl.);142,21
ARGI;5213;***DES***Lámpara 3 Luces;Oxido Marrón;3 x E27 (No Incl.);153,62
ARGI;5214;***DES***Plafón ;Oxido Marrón;3 x E27 (No Incl.);110,27
ARGI;5216;***DES***Aplique ;Oxido Marrón;1 x E27 (No Incl.);39,55
ARGI;5217;***DES***Sobremesa -Pequeno;Oxido Marrón;1 x E27 (No Incl.);59,32
ARI;5925;Plafón LED Grande  CR.;Blanco;LED 40W - 3000K-6500K - 3200 LMS - 220-240V~50/60Hz;209,26
ARI;5926;Plafón LED Mediano  CR.;Blanco;LED 24W - 3000K-6500K - 1920 LMS - 220-240V~50/60Hz;109,53
ARI;5927;Plafón LED Pequeño;Blanco;LED 12W - 4000K - 960 LMS - 220-240V~50/60Hz;52,21
ARMONIA BLANCO;6720;Plafón LED;Blanco+Cromo;LED 60W - 3000K - 4500 LMS - 220-240V~50/60Hz;462,11
ARMONIA BLANCO;6721;Plafón LED;Blanco+Cromo;LED 60W - 3000K - 4500 LMS - 220-240V~50/60Hz;401,88
ARMONIA BLANCO;6722;Plafón LED;Blanco+Cromo;LED 60W - 3000K - 4500 LMS - 220-240V~50/60Hz;390,58
ARMONIA BLANCO;6723;Plafón LED;Blanco+Cromo;LED 50W - 3000K - 3750 LMS - 220-240V~50/60Hz;323,29
ARMONIA BLANCO;6724;Plafón LED;Blanco+Cromo;LED 40W - 3000K - 3000 LMS - 220-240V~50/60Hz;267,29
ARMONIA BLANCO;6725;Plafón LED;Blanco+Cromo;LED 25W - 3000K - 1875 LMS - 220-240V~50/60Hz;188,70
ARMONIA BLANCO;6726;Aplique LED;Blanco+Cromo;LED 18W - 3000K - 1350 LMS - 220-240V~50/60Hz;154,82
ARMONIA BLANCO;6727;Aplique LED;Blanco+Cromo;LED 12W - 3000K - 900 LMS - 220-240V~50/60Hz;105,65
ARMONIA BLANCO;6728;Sobremesa LED ;Blanco+Cromo;LED 18W - 3000K - 1350 LMS - 220-240V~50/60Hz;157,17
ARMONIA BLANCO;6729;Sobremesa LED ;Blanco+Cromo;LED 10W - 3000K - 750 LMS - 220-240V~50/60Hz;100,47
ARMONIA BLANCO;6730;Pie De Salón LED ;Blanco+Cromo;LED 30W - 3000K - 2250 LMS - 220-240V~50/60Hz;405,64
ARMONIA BLANCO;6731;Plafón LED;Blanco+Cromo;LED 40W - 3000K - 3000 LMS - 220-240V~50/60Hz;263,52
ARMONIA TITANIO;6790;Plafón LED;Blanco+Titanio;LED 60W - 3000K - 4500 LMS - 220-240V~50/60Hz;497,40
ARMONIA TITANIO;6791;Plafón LED;Blanco+Titanio;LED 60W - 3000K - 4500 LMS - 220-240V~50/60Hz;430,58
ARMONIA TITANIO;6792;Plafón LED;Blanco+Titanio;LED 60W - 3000K - 4500 LMS - 220-240V~50/60Hz;419,29
ARMONIA TITANIO;6793;Plafón LED;Blanco+Titanio;LED 50W - 3000K - 3750 LMS - 220-240V~50/60Hz;359,05
ARMONIA TITANIO;6794;Plafón LED;Blanco+Titanio;LED 40W - 3000K - 3000 LMS - 220-240V~50/60Hz;294,58
ARMONIA TITANIO;6795;Plafón LED;Blanco+Titanio;LED 25W - 3000K - 1875 LMS - 220-240V~50/60Hz;203,29
ARMONIA TITANIO;6796;Aplique LED Dimable;Blanco+Titanio;LED 18W - 3000K - 1350 LMS - 220-240V~50/60Hz;179,76
ARMONIA TITANIO;6797;Aplique LED Dimable;Blanco+Titanio;LED 12W - 3000K - 900 LMS - 220-240V~50/60Hz;127,53
ARMONIA TITANIO;6798;Sobremesa LED;Blanco+Titanio;LED 18W - 3000K - 1350 LMS - 220-240V~50/60Hz;150,59
ARMONIA TITANIO;6799;Sobremesa LED;Blanco+Titanio;LED 10W - 3000K - 750 LMS - 100-240V~50/60Hz;95,29
ARMONIA TITANIO;6800;Pie De Salón LED Dim;Blanco+Titanio;LED 30W - 3000K - 2250 LMS - 220-240V~50/60Hz;375,52
ARMONIA TITANIO;6801;Plafón LED Dim;Blanco+Titanio;LED 40W - 3000K - 3000 LMS - 220-240V~50/60Hz;292,70
AROS;5750;***DES***Lámpara LED  CR.;Cromo;LED 102W - 3000K - 4420 LMS - 220-240V~50/60Hz;571,35
AROS;5751;***DES***Lámpara LED  CR.;Cromo;LED 81W - 3000K - 3500 LMS - 220-240V~50/60Hz;429,00
AROS;5752;***DES***Lámpara LED  CR.;Cromo;LED 59W - 3000K - 2600 LMS - 220-240V~50/60Hz;317,85
AROS;5756;***DES***Plafón LED  CR.;Cromo;LED 46W - 3000K - 2050 LMS - 220-240V~50/60Hz;286,65
ARUBA;5622;Colgante Grande ;Blanco Mate;1 x E27 (No Incl.);35,80
ARUBA;5623;Colgante Pequeño ;Blanco Mate;1 x E27 (No Incl.);19,90
ARUBA;5624;Colgante Grande ;Plata;1 x E27 (No Incl.);35,80
ARUBA;5625;Colgante Pequeño ;Plata;1 x E27 (No Incl.);20,30
ARUBA;5626;Foco Superficie Grande ;Blanco Mate;1 x E27 (No Incl.);22,80
ARUBA;5627;Foco Superficie Pequeño ;Blanco Mate;1 x E27 (No Incl.);19,00
ARUBA;5628;Foco Superficie Grande ;Plata;1 x E27 (No Incl.);22,80
ARUBA;5629;Foco Superficie Pequeño ;Plata;1 x E27 (No Incl.);19,00
ARUBA;6015;Foco Superficie;Blanco;1 x E27 (No Incl.);20,40
ARUBA;6016;Foco ;Plata;1 x E27 (No Incl.);21,00
ARUBA;6044;Foco Carril Trifasico;Blanco;1 x E27 (No Incl.);27,90
ARUBA;6045;Foco Carril Trifasico;Negro;1 x E27 (No Incl.);27,90
ASIMETRIC;6220;Aplique ;Blanco;1 x GX53 (No Incl.);49,24
ASIMETRIC;6221;Aplique ;Blanco;1 x GX53 (No Incl.);45,26
ASIMETRIC;6222;Aplique ;Negro;1 x GX53 (No Incl.);53,55
ASPEN;7021;Señalizador exterior LED  IP65;Gris Oscuro;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz;23,60
ASPEN;7022;Señalizador exterior LED  IP65;Negro Arena;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz;23,60
ASPEN;7023;Señalizador exterior LED  IP65;Blanco Arena;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz;23,60
ASPEN;7024;Señalizador exterior LED  IP65;Gris Oscuro;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz;25,80
ASPEN;7025;Señalizador exterior LED  IP65;Negro Arena;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz;25,80
ASPEN;7026;Señalizador exterior LED  IP65;Blanco Arena;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz;25,80
ASPEN;7027;Señalizador exterior LED  IP65;Gris Oscuro;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz;23,60
