ITEMID;CONFIGID;Stock;FECHAPROX;;;
394529;;33;20/1/20;;;
394647;;10;20/1/20;;;
394782;;29;21/2/20;;;
394834;;13;7/2/20;;;
395598;;15;;;;
395598UK;;16;;;;
397319;;45;9/5/20;;;
397402;;34;;;;
397960;;1;;;;
398021;;12;;;;
398021UK;;14;;;;
400-00;;1;;;;
400-002;;1;;;;
400-01/03;;1;;;;
400-01/200;;2;;;;
400-02/02 DER;;2;;;;
400-02/02 IZDA;;2;;;;
400-05;;1;;;;
400-05/02;;1;;;;
400-15/01;;1;;;;
400-43;;1;;;;
400-50/02;;1;;;;
404-01/180;;1;;;;
404-22;;1;;;;
411-00;;0;9/5/20;;;
411-08;;6;;;;
411-50;;1;;;;
412-00;;1;;;;
412-01/200;;1;;;;
412-02/01;;2;;;;
412-03/01;;1;;;;
412-04/01;;2;;;;
412-07/01;;2;;;;
412-08/01;;2;;;;
412371;;17;9/5/20;;;
415-00;;0;;;;
415-01/150;;1;;;;
415-02;;2;;;;
415-08;;1;;;;
415801;;218;9/5/20;;;
415801UK;;218;9/5/20;;;
415801UKR01;;39;9/5/20;;;
420-00;;1;9/5/20;;;
420-01/200;;1;;;;
420-02;;2;;;;
420-04;;1;;;;
420-08/01;;1;;;;
421862;;7;31/1/20;;;
428605;;26;9/5/20;;;
428605P;;29;9/5/20;;;
429126;;0;15/1/20;;;
429852;;86;9/5/20;;;
431851;;1;21/2/20;;;
431862;;18;21/2/20;;;
434-00;;1;;;;
434-01/180;;2;;;;
434-02/01;;2;;;;
434-03;;1;;;;
434-04;;3;;;;
434-08;;1;;;;
434-12;;1;;;;
436-00;;1;;;;
436-02;;3;;;;
436-03;;1;;;;
436-04;;1;;;;
436-07;;2;;;;
436218;;65;9/5/20;;;
436462;;24;20/1/20;;;
436462UK;;24;;;;
436631;;38;20/1/20;;;
436-80;;1;;;;
438-00;;1;;;;
438-01/180;;1;;;;
438-02;25;2;;;;
438-03;;1;;;;
438-04;;1;;;;
438-21;366;2;;;;
438-24;366;1;;;;
438-50;;1;;;;
440-00;;1;;;;
440-01/270;;1;;;;
440-04;;1;;;;
440-04/2;;1;;;;
440-08/01;;1;;;;
440-14/90;;1;;;;
440-54/01;;1;;;;
442510;;24;;;;
442522;;57;;;;
442637;;42;9/5/20;;;
442637UK;;42;9/5/20;;;
442749;;62;9/5/20;;;
442749UK;;62;9/5/20;;;
442851;;64;9/5/20;;;
442963;;39;13/3/20;;;
442963UK;;42;;;;
443074;;29;;;;
443074UK;;29;;;;
443196;;47;9/5/20;;;
443-55;;2;;;;
446-00;;1;;;;
446-01/200;;2;;;;
446-01/300;;1;;;;
446-15/02;;1;;;;
447510;;27;17/4/20;;;
452193;;12;20/1/20;;;
453018;;2;;;;
453108;;52;;;;
453108UK;;56;;;;
453294;;34;13/3/20;;;
453294UK;;38;;;;
456120;;86;28/6/19;;;
456120D;;0;15/1/20;;;
456231;;112;20/1/20;;;
456231D;;0;14/2/20;;;
456231R01;;2;;;;
456342;;169;14/2/20;;;
456342D;;39;9/5/20;;;
456453;;120;20/1/20;;;
456453D;;9;;;;
456453R01;;116;9/5/20;;;
456453R02;;0;;;;
457491;;24;20/3/20;;;
461831;;70;9/5/20;;;
461975;;85;9/5/20;;;
462812;;21;28/2/20;;;
462952;;23;;;;
463-00;;1;;;;
463-02;;1;;;;
463-05;;1;;;;
463-20;;1;;;;
465786UK;;2;;;;
467235;;24;9/5/20;;;
467235UK;;25;9/5/20;;;
468174;;0;21/2/20;;;
468210;;112;4/5/20;;;
468210UK;;119;;;;
468210UKR01;;120;9/5/20;;;
468227;;4;24/1/20;;;
468227UK;;54;;;;
472684;;187;9/5/20;;;
473217;;6;;;;
473228;;21;;;;
473859;;16;;;;
473861;;18;;;;
475168;;11;27/3/20;;;
475-20;;1;;;;
475273;;29;20/1/20;;;
475416;;31;13/3/20;;;
475416UK;;31;;;;
475592;;25;13/3/20;;;
475592UK;;25;;;;
480152;;18;28/2/20;;;
480531;4834;39;9/5/20;;;
480531;S/A;39;9/5/20;;;
481016;;39;;;;
481016D;;40;;;;
481541;;48;1/5/20;;;
481541D;;50;;;;
482033;;31;13/3/20;;;
482164;;27;13/3/20;;;
4834;;96;9/5/20;;;
483490;;20;9/5/20;;;
48R03;;0;;;;
48R06;;8;9/5/20;;;
48R09;;2;;;;
490275;;249;9/5/20;;;
490275UK;;250;;;;
490633;;73;9/5/20;;;
492061;;19;9/5/20;;;
492061UK;;19;9/5/20;;;
492753;;62;9/5/20;;;
493045;;53;9/5/20;;;
493045UK;;53;9/5/20;;;
493168;;59;20/1/20;;;
493168UK;;59;;;;
493826;;83;9/5/20;;;
493826UK;;87;9/5/20;;;
493826UKR01;;40;;;;
49441583;7611;2;21/2/20;;;
494634R01;;9;9/5/20;;;
494745;;0;24/1/20;;;
495663;;79;;;;
495703;;44;9/5/20;;;
495872;;2;20/1/20;;;
496135UK;;0;;;;
496503;;5;9/5/20;;;
496640;;10;9/5/20;;;
496851;;37;9/5/20;;;
496925;;11;9/5/20;;;
497751;;1;7/2/20;;;
5001;;185;;;;
50011;;765;;;;
5003;;305;31/1/20;;;
5003S;;2;;;;
5004;;788;9/5/20;;;
50061S;;8;;;;
50069;;583;9/5/20;;;
50069S;;9;;;;
5008;;5;;;;
50089;;312;9/5/20;;;
5008S;;4;;;;
50121;;492;9/5/20;;;
50121S;;2;;;;
50161;;162;;;;
5017;;178;9/5/20;;;
50179;;1479;9/5/20;;;
5017S;;2;;;;
50212;;1728;9/5/20;;;
50212S;;1;;;;
50213;;1399;9/5/20;;;
50215;;782;24/4/20;;;
50229;;717;9/5/20;;;
5031;;197;30/11/19;;;
5031S;;5;;;;
5032;;13;;;;
5033;;65;9/5/20;;;
5033S;;3;;;;
506514;;95;9/5/20;;;
506514R01;;70;;;;
506514R02;;69;;;;
506625;;58;28/2/20;;;
506625UK;;61;;;;
506736;;123;9/5/20;;;
506847;;137;20/1/20;;;
507039;;13;24/1/20;;;
507039R01;;5;9/5/20;;;
507130;;26;17/4/20;;;
507413;;36;17/4/20;;;
507413R01;;0;;;;
507514;;9;24/1/20;;;
507514R01;;21;9/5/20;;;
507514R02;;6;;;;
507818;;32;14/6/19;;;
507818UK;;34;;;;
507939;;139;24/1/20;;;
507939D;;139;16/1/20;;;
508030;;91;24/1/20;;;
508030D;;91;16/1/20;;;
508111;;114;20/1/20;;;
508111D;;114;16/1/20;;;
508111R01;;11;;;;
508111R02;;16;;;;
508111R03;;0;;;;
508111R04;;0;;;;
508111R05;;0;;;;
508222;;45;20/1/20;;;
508222R01;;12;;;;
508222UK;;57;;;;
508323;;8;20/1/20;;;
508323R01;;3;9/5/20;;;
508424;;27;24/1/20;;;
508424UK;;53;;;;
508516;;18;20/1/20;;;
508516R01;;10;;;;
508516UK;;18;;;;
508718;;140;20/1/20;;;
508718D;;140;16/1/20;;;
508931;;8;20/1/20;;;
508931UK;;10;;;;
509010;;119;24/1/20;;;
509010R01;;0;;;;
509213;;12;17/1/20;;;
509327;;55;24/1/20;;;
513712;;14;;;;
514223R01;;4;;;;
514223R02;;3;;;;
514223UKR03;;20;;;;
514234UKR03;;41;;;;
514390;;168;;;;
514390UK;;168;;;;
514390UKR01;;45;9/5/20;;;
516219;;4;;;;
516219UK;;7;;;;
516238;;0;;;;
516238UK;;0;;;;
518394;;33;14/2/20;;;
520783;;19;22/1/20;;;
520783D;;20;;;;
520783R01;;57;9/5/20;;;
527021B2/2;;18;;;;
531973;;50;9/5/20;;;
532115;;1;22/1/20;;;
532906;;27;9/5/20;;;
535190;;43;4/5/20;;;
539764;;29;9/5/20;;;
541450;;14;21/2/20;;;
541450D;;15;;;;
541450R01;;3;;;;
541461R01;;8;;;;
541528;;57;31/12/19;;;
541870R01;;8;9/5/20;;;
541882R01;;14;;;;
542013;;13;21/2/20;;;
542013D;;14;;;;
542013R01;;8;9/5/20;;;
549221;;326;9/5/20;;;
549221R01;;38;9/5/20;;;
549221UK;;328;9/5/20;;;
549234;;138;9/5/20;;;
549234R01;;63;9/5/20;;;
549234UK;;145;9/5/20;;;
549234UKR02;;70;9/5/20;;;
552097;;33;9/5/20;;;
552141;;19;9/5/20;;;
552283;;35;13/3/20;;;
552431;;18;7/2/20;;;
552522;;117;13/3/20;;;
552672;;58;29/5/20;;;
552758;;357;17/4/20;;;
552758UK;;402;;;;
552758UKR01;;50;9/5/20;;;
552764;;371;9/5/20;;;
552933;;53;7/2/20;;;
553095;;26;29/5/20;;;
553106;;41;29/5/20;;;
553218;;71;9/5/20;;;
553229;;100;9/5/20;;;
553347;;37;9/5/20;;;
553350;;33;9/5/20;;;
553472;;32;9/5/20;;;
553486;;19;20/1/20;;;
553602;;38;9/5/20;;;
553616;;11;9/5/20;;;
563958;;9;;;;
564803;;49;20/1/20;;;
564803R01;;2;9/5/20;;;
564916;;73;29/2/20;;;
568672;;22;9/5/20;;;
569120;;32;24/4/20;;;
569529;;24;9/5/20;;;
570R01;;21;9/5/20;;;
571034G9;;41;27/3/20;;;
571631R01;;5;9/5/20;;;
571914R01;;107;9/5/20;;;
571R01;;21;9/5/20;;;
572R01;;24;9/5/20;;;
579814G9;;7;20/1/20;;;
579814G9D;;7;;;;
579930G9;;2;22/1/20;;;
579930G9D;;3;;;;
580833;;17;20/1/20;;;
580919;;69;17/4/20;;;
580919UK;;69;16/1/20;;;
580925;;35;9/5/20;;;
580925UK;;35;9/5/20;;;
580925UKR02;;14;9/5/20;;;
580931;;9;;;;
580944;;267;9/5/20;;;
580944UK;;269;9/5/20;;;
584102;;59;7/2/20;;;
584102R01;;86;;;;
584214;;11;14/1/20;;;
584326;;27;21/1/20;;;
584438;;24;21/1/20;;;
584438D;;2;20/1/20;;;
584541;;26;21/1/20;;;
584541D;;3;21/1/20;;;
584659;;4;21/1/20;;;
586107;;60;9/5/20;;;
586911;;34;20/1/20;;;
586911UK;;38;;;;
586923;;34;9/5/20;;;
586923UK;;35;9/5/20;;;
589204;;21;14/2/20;;;
589204UKR01;;38;9/5/20;;;
589316;;28;14/2/20;;;
590681;;109;;;;
590716;;86;;;;
591538;;5;;;;
591684;;4;;;;
591762;;7;;;;
591983;;2;;;;
593364;;60;20/1/20;;;
593375;;21;24/4/20;;;
593429;;22;24/4/20;;;
593741;;44;9/5/20;;;
594629;;4;29/5/20;;;
594782;;0;18/1/20;;;
594782N;;9;29/5/20;;;
594894;;16;;;;
596912;;10;;;;
598301;;45;9/5/20;;;
600501;;153;27/3/20;;;
600502;;171;27/3/20;;;
600503;;158;9/5/20;;;
600514;;244;9/5/20;;;
60101;;18;9/5/20;;;
60112;;10;9/5/20;;;
60123;;10;9/5/20;;;
60134;;2;9/5/20;;;
610748R04;;1395;;;;
612547R01;;2;;;;
612547R02;;39;;;;
614082;;86;1/5/20;;;
614082UK;;4;9/5/20;;;
614082UKR01;;84;9/5/20;;;
614157;;24;14/2/20;;;
614157UK;;27;;;;
614259;;56;9/5/20;;;
614259UK;;62;9/5/20;;;
614259UKR01;;46;9/5/20;;;
615926;;98;9/5/20;;;
616148;;1;;;;
616148R01;;65;9/5/20;;;
618253;;36;21/1/20;;;
618271;;23;17/4/20;;;
618318;;28;9/5/20;;;
618436;;27;17/4/20;;;
618492;;10;;;;
618547;;35;;;;
618547R01;;7;9/5/20;;;
618609;;8;;;;
618716;;24;9/5/20;;;
618859;;12;20/1/20;;;
618914;;3;;;;
619007UK;;3;;;;
622582;;29;;;;
625211;;7;;;;
625432;;21;9/5/20;;;
625654;;4;;;;
625769;;10;;;;
628415;;34;;;;
638;;90;;;;
641697;;23;21/2/20;;;
641942;;35;;;;
642053;;67;9/5/20;;;
646137;;25;9/5/20;;;
648025;;1;;;;
648159;;4;28/2/20;;;
648175;;25;28/2/20;;;
648362;;30;17/1/20;;;
648388;;17;17/1/20;;;
648417;;14;;;;
648417UK;;14;;;;
648436;;27;;;;
650195;;38;9/5/20;;;
650274;;95;9/5/20;;;
650319;;43;9/5/20;;;
651320;;8;24/1/20;;;
651431;;2;24/1/20;;;
651542;;6;24/1/20;;;
652043;;26;20/1/20;;;
652138;;72;9/5/20;;;
653422;;61;20/1/20;;;
653422D;;66;;;;
653608;;137;17/1/20;;;
653608R01;;72;;;;
653841;;7;;;;
654168;;91;9/5/20;;;
654227;;0;28/2/20;;;
654248;;13;28/2/20;;;
654377;;30;9/5/20;;;
654522;;2;;;;
654639;;40;;;;
654942;;23;;;;
657029;;19;9/5/20;;;
661418;;57;20/1/20;;;
661418UK;;59;;;;
661457N;;39;20/1/20;;;
661457NUK;;45;;;;
661543UK;;0;;;;
661565;;0;7/2/20;;;
661565UK;;0;7/2/20;;;
661917;;41;9/5/20;;;
661917UK;;41;9/5/20;;;
661946N;;13;28/2/20;;;
661946NUK;;15;;;;
662110;;56;22/1/20;;;
662110UK;;56;22/1/20;;;
662136N;;61;22/1/20;;;
662136NUK;;69;;;;
662413;;0;17/1/20;;;
662413UK;;0;17/1/20;;;
662514;;14;7/2/20;;;
662514UK;;23;;;;
662536;;19;20/1/20;;;
662536UK;;34;;;;
663023;;32;20/1/20;;;
663023UK;;35;;;;
663542;;18;28/2/20;;;
663554;;41;20/1/20;;;
663554R01;;3;9/5/20;;;
663565R01;;2;9/5/20;;;
663618;;17;22/1/20;;;
663676;;22;20/1/20;;;
664115;;3;22/1/20;;;
664443;;17;22/1/20;;;
664443UK;;17;22/1/20;;;
671347R01;;2;;;;
671630R01;;28;;;;
673699;;45;9/5/20;;;
673744;;21;9/5/20;;;
673938;;44;4/5/20;;;
675327;;64;9/5/20;;;
675406;;111;9/5/20;;;
679215D;;2;9/5/20;;;
679215N;;37;22/1/20;;;
679215R01;;0;;;;
679526;;28;9/5/20;;;
679526D;;36;9/5/20;;;
679526N;;19;9/5/20;;;
683195;;49;29/5/20;;;
683284;;61;29/5/20;;;
683759;;8;;;;
684530;;79;9/5/20;;;
685201;;47;9/5/20;;;
685201UK;;48;9/5/20;;;
685216;;47;9/5/20;;;
685216UK;;54;9/5/20;;;
685216UKR01;;30;9/5/20;;;
685364;;6;;;;
