ITEMID;CONFIGID;Stock;FECHAPROX;;;
787260;;0;15/1/20;;;
791248;;12;28/2/20;;;
792107;20691;14;24/1/20;;;
792219;20701;8;20/1/20;;;
792386;20721;36;9/5/20;;;
792425;2073;11;20/1/20;;;
792538;;109;20/1/20;;;
792538UK;;22;9/5/20;;;
792549;;31;20/1/20;;;
792572;;16;20/1/20;;;
792750;;32;;;;
792750UK;;33;;;;
793091;;29;20/1/20;;;
793091D;;29;16/1/20;;;
793168;;11;22/1/20;;;
793258;;0;16/1/20;;;
793258D;;1;;;;
793269;;8;24/1/20;;;
793269D;;8;;;;
793301;;125;20/1/20;;;
793371;;22;22/1/20;;;
793407;;20;20/1/20;;;
793412;;42;20/1/20;;;
793429;;42;17/4/20;;;
793523;;73;9/5/20;;;
793523D;;75;9/5/20;;;
793534;;46;7/2/20;;;
793534D;;46;;;;
793635;;51;;;;
793635D;;51;;;;
793659;;16;20/1/20;;;
793659D;;16;;;;
793746;;6;22/1/20;;;
793746D;;6;;;;
793960;;43;20/1/20;;;
793960D;;44;;;;
793960G;;4;7/2/20;;;
793960GD;;4;;;;
794017;;15;7/2/20;;;
794025;;20;7/2/20;;;
794025D;;21;;;;
794172;;21;20/3/20;;;
794218;;30;28/2/20;;;
794368;;15;28/2/20;;;
794485;;109;9/5/20;;;
794496;;35;9/5/20;;;
794528;;110;9/5/20;;;
794539;;36;9/5/20;;;
794691;;3;7/2/20;;;
794691D;;3;;;;
810637;;5;9/5/20;;;
810637D;;7;9/5/20;;;
810871;;25;;;;
814516;;73;22/1/20;;;
815470;;48;9/5/20;;;
819374;;28;9/5/20;;;
820318;;14;20/1/20;;;
820426;2059;0;20/1/20;;;
820426;2060;4;24/1/20;;;
820613;2112;;;;;
820613;2113;;;;;
821437;;32;20/1/20;;;
821629;;9;20/1/20;;;
825306;;48;20/1/20;;;
825306UK;;52;;;;
825306UKR01;;11;;;;
825473;;27;20/1/20;;;
825473UK;;27;;;;
825473UKR01;;6;;;;
826198;;11;7/2/20;;;
827494R01;;0;;;;
827523;;33;20/1/20;;;
827635;;30;20/1/20;;;
827635R01;;6;9/5/20;;;
827635R03;;9;9/5/20;;;
827635R04;;5;;;;
827746;;14;20/1/20;;;
831622;;38;21/2/20;;;
831635;;28;21/2/20;;;
831940;;46;21/2/20;;;
831963;;92;9/5/20;;;
832128;;19;28/2/20;;;
832139;;0;21/2/20;;;
835244;;57;9/5/20;;;
836104;;66;;;;
836104UK;;67;;;;
836104UKR01;;8;9/5/20;;;
840842;2061;12;9/5/20;;;
841863;;6;;;;
842016;;42;;;;
842753;;16;;;;
847118;;25;;;;
847235;;30;;;;
847351;;48;9/5/20;;;
847492;;45;9/5/20;;;
851251;;76;9/5/20;;;
851472;;99;;;;
851973;;82;;;;
852508;;23;20/1/20;;;
853804;;6;7/2/20;;;
854196N;;13;14/2/20;;;
854275;;13;30/4/19;;;
854275D;;31;;;;
854321;;23;9/5/20;;;
854321D;;40;9/5/20;;;
854416D;;0;9/5/20;;;
854416N;;27;22/1/20;;;
854537D;;1;9/5/20;;;
854537N;;0;14/2/20;;;
854683;;107;20/1/20;;;
860218;;87;28/2/20;;;
860218R01;;36;;;;
860218R02;;54;9/5/20;;;
860218R03;;12;9/5/20;;;
860627;;48;;;;
860752;2083;7;9/5/20;;;
860953;;71;22/1/20;;;
861298;;5;7/2/20;;;
863624;;5;;;;
863952;;88;22/1/20;;;
867012;;1;20/1/20;;;
867123;;69;24/1/20;;;
867234;;8;20/1/20;;;
867345UK;;0;;;;
870951;;40;9/5/20;;;
872258;;14;31/12/19;;;
872469;;16;1/5/20;;;
872469D;;17;;;;
872478;;2;;;;
872478D;;4;;;;
872593;;14;24/1/20;;;
872611;;5;20/1/20;;;
872712;;22;20/1/20;;;
872729;;27;9/5/20;;;
872853;;36;9/5/20;;;
872853D;;36;9/5/20;;;
872941;;19;9/5/20;;;
872941D;;20;9/5/20;;;
872956;;13;9/5/20;;;
873079;;4;9/5/20;;;
873079D;;4;9/5/20;;;
874192;;0;28/2/20;;;
874426;;2;;;;
876113;;8;21/2/20;;;
876113D;;8;;;;
876124;;8;21/2/20;;;
876124D;;9;;;;
876295R01;;12;;;;
876352;;15;20/1/20;;;
876352D;;15;16/1/20;;;
876352R01;;19;;;;
876360;;5;20/1/20;;;
876360D;;5;;;;
876873;2071;24;28/2/20;;;
876873;2082;36;24/1/20;;;
876873;2084;3;28/2/20;;;
877019;;5;9/5/20;;;
877342;;5;;;;
877451;;1;;;;
877503;;3;;;;
880138;;0;7/2/20;;;
892519;;15;;;;
892519R01;;21;9/5/20;;;
894190;;16;;;;
89431589;7443;21;21/2/20;;;
895260;;8;;;;
896306;;62;9/5/20;;;
896412;;67;9/5/20;;;
899925;;25;7/2/20;;;
9001;;65;;;;
9004;;80;;;;
912064;;22;9/5/20;;;
921688;;0;7/2/20;;;
924071;;3;;;;
924713;;79;20/1/20;;;
932401;;10;;;;
943501;;28;9/5/20;;;
953271;;48;29/5/20;;;
956082;;48;9/5/20;;;
956235;;13;;;;
956241;;26;20/1/20;;;
956384;;7;20/1/20;;;
956450;;44;20/1/20;;;
956518;;30;;;;
956522;;24;;;;
960243;;36;24/4/20;;;
978153;;142;7/2/20;;;
978245;;84;9/5/20;;;
983162;;0;15/1/20;;;
996426;;25;9/5/20;;;
