"idoxatis";"sku";"nombre";"stock";"pvpventa";"pvprecomendado";"ean"
19614803;33608;Ventilador de techo Panay FARO - Niquel 122cm. ?;30;0.00;242,50;8421776091184
19615039;33498;Ventilador Phuket FARO - Iluminaci?n LED 120cm. ?;30;0.00;329,80;8421776090934
19615236;33467;Ventilador Fogo FARO - Blanco Iluminaci?n LED. 112cm. ?;30;0.00;308,70;8421776090163
19615240;S-33469;Ventilador de techo Fogo FARO Marr?n 112cm.?;1;21100.00;324,00;8421776090521
19615429;33606;Ventilador de techo Cebu FARO Blanco 106cm.?;30;0.00;212,40;8421776091191
19641840;32000;Ventilador Eterfan FARO - blanco brillo motor DC 128 cm. ?;30;0.00;589,90;8421776096851
19672476;33394;Ventilador Justfan FARO - cromo transparente 128cm. ?;30;0.00;475,00;8421776084940
19672496;32001;Ventilador Eterfan FARO - blanco mate motor DC 128cm. ?;0;343.00;589,90;8421776096868
19672503;32002;Ventilador Eterfan FARO - negro brillo motor DC 128cm. ?;0;343.00;589,90;8421776096875
19672504;32003;Ventilador Eterfan FARO - negro mate motor DC 128cm. ?;0;343.00;589,90;8421776096882
19672507;32004;Ventilador Eterfan FARO - negro madera motor DC 128cm. ?;0;343.00;589,90;8421776096899
19672611;33464;Ventilador Lantau G FARO acero aspas Nogal 168cm. ?;30;0.00;478,40;8421776090842
19672621;33462;Ventilador Andros FARO Marr?n 213cm.?;30;0.00;742,20;8421776096042
19672729;33478;Ventilador Nassau FARO. Ventilador Marron motor Dc 128cm.?;30;0.00;396,00;8421776096097
19672745;33357-SIN;Ventilador exterior Hierro FARO Blanco sin luz 132cm.?;0;17900.00;288,75;8421776333574
19673024;33420L;Kit de luz LED de ventilador de techo Nova. FARO;30;0.00;67,00;8421776092167
19683549;33476;Kit de luz LED de ventilador de techo Molokai. FARO;30;0.00;110,00;8421776091047
19713684;33962;Barras para alargar ventiladores de techo FARO;30;0.00;18,50;8421776091221
19713685;33965;Barras para alargar ventiladores de techo FARO;30;0.00;18,50;8421776091245
19713686;33960;Barras para alargar ventiladores de techo FARO;30;0.00;18,50;8421776339606
19713687;33964-CUT;Barras para alargar ventiladores de techo FARO;4;12.60;20,30;
19713688;33971-CUT;Barras para alargar ventiladores de techo FARO;3;12.60;20,30;
19713689;33957-CUT;Barras para alargar ventiladores de techo FARO;4;12.60;20,30;
19713690;33964;Barras para alargar ventiladores de techo FARO;30;0.00;20,30;8421776091238
19713691;33971;Barras para alargar ventiladores de techo FARO;30;0.00;20,30;8421776091252
19713692;33957;Barras para alargar ventiladores de techo FARO;30;0.00;20,30;8421776339576
19713693;33959;Barras para alargar ventiladores de techo FARO;30;0.00;18,50;8421776339590
19713694;33958-CUT;Barras para alargar ventiladores de techo FARO;3;12.60;20,30;
19713695;33958;Barras para alargar ventiladores de techo FARO;30;0.00;20,30;8421776339583
19713696;33904;Barras para alargar ventiladores de techo FARO;30;0.00;17,80;8421776339040
19713697;33944;Barras para alargar ventiladores de techo FARO;30;0.00;20,00;8421776339446
19713698;33954;Barras para alargar ventiladores de techo FARO;30;0.00;20,30;8421776339545
22397073;33461;Ventilador Andros FARO Blanco 213cm.?;30;0.00;741,50;8421776112384
22438900;33699;Ventilador Mini Icaria FARO Niquel 107cm.?;30;0.00;193,90;8421776116184
22438911;33698;Ventilador Mini Icaria FARO Blanco 107cm.?;30;0.00;193,90;8421776116160
22438920;33609;Ventilador de techo Cebu FARO Niquel 106cm.?;30;0.00;222,50;8421776116917
22647355;33373;Ventilador Lantau FARO - acero aspas pino 132cm. ?;30;0.00;399,45;8421776116818
22647376;33485;Ventilador Bahamas Faro - Motor DC luz LED. 141cm. ?;30;0.00;675,20;8421776117143
23128042;33398;Ventilador Justfan oro viejo Faro 128cm.?;0;383.00;658,00;8421776117297
23129488;33399;Ventilador Justfan Cobre Faro 128cm.?;0;348.00;599,00;8421776117303
23130463;33711;Ventilador Yakarta FARO oro viejo sin luz 121cm.?;30;0.00;148,50;8421776117075
23149301;33712;Ventilador Yakarta FARO blanco sin luz 121cm.?;30;0.00;148,50;8421776117082
23149339;33713+33714;Ventilador Yakarta FARO marron sin luz 121cm.?;30;0.00;195,90;8421776117099
23149340;33713;Ventilador Yakarta FARO marron sin luz 121cm.?;30;0.00;148,50;8421776117099
23149351;33713-33714;Ventilador Yakarta FARO marron con luz 121cm.?;19;114.00;195,90;8421776117099
23149352;33713;Ventilador Yakarta FARO marron con luz 121cm.?;30;0.00;148,50;8421776117099
23152816;33704;Ventilador Mediterraneo FARO - Ventilador blanco 81.5cm.?;30;0.00;145,00;8421776116238
23152857;33703;Ventilador Chicago FARO ?91.5cm Vintage;30;0.00;210,00;8421776116221
23153406;33610;Ventilador de techo Oboe FARO sin luz 105cm.?;30;0.00;185,20;8421776116931
23153582;33715;Ventilador Keiki FARO. Ventilador Vintage 43cm.?;30;0.00;329,00;8421776117105
23359825;33480;Ventilador Typhoon FARO blanco - IP44. 130cm. ?;30;0.00;514,90;8421776116214
23359919;33504;Ventilador Lantau G FARO acero aspas pino 168cm. ?;30;0.00;478,40;8421776118683
23790374;33395+33391;Ventilador JustFan FARO negro + LUZ 128cm.?;30;0.00;542,00;8421776092099
23828998;33479;Barra ventilador nassau;30;0.00;40,00;8421776096103
23830920;33482+33486;Ventilador Winche FARO - cromo luz LED. 130cm ?.;30;0.00;657,70;
23830997;33482;Ventilador Winche FARO- cromo 130cm ?. Sin luz;30;0.00;565,00;8421776116375
23917784;33553;Ventilador Century Blanco FARO Led 165cm.?;30;0.00;699,40;8421776116863
23918247;33554;Ventilador Century Niquel FARO Led 165cm.?;30;0.00;699,40;8421776117006
23918258;33552;Ventilador Tonic FARO - Motor DC luz LED 152cm. ?;30;0.00;664,35;8421776116849
23918309;33552-SIN LUZ;Ventilador Tonic FARO - Motor DC sin luz 152cm. ?;20;389.00;664,35;8421776116849
23918528;33721;Ventilador Nu FARO - motor DC. Sin luz 132cm. ?;30;0.00;368,20;8421776168565
23918542;33481+33484;Ventilador Winche FARO - negro Luz LED. 130cm ?;30;0.00;607,60;8421776116382
23924558;33710;Ventilador Aloha FARO 132cm. Ventilador Sin luz;30;0.00;248,50;8421776117068
23924564;33710+33714;Ventilador Aloha FARO 132cm. + Kit de luz;30;0.00;295,90;8421776117068
23925595;33394+33390;Ventilador Justfan FARO transparente 128cm.? + Kit de luz.;30;0.00;552,30;8421776084940
23925596;33611;Ventilador sin luz Factory FARO 106cm.;30;0.00;115,40;8421776116948
23926314;33390;Kit de luz Cromo brillo ventilador de techo FARO;30;0.00;77,30;8421776023901
24922188;33466;Ventilador Tilos FARO Marr?n 168cm.? Motor DC;30;0.00;725,00;8421776079670
24922260;34003;Barra ventilador de techo Tilos Faro.;30;0.00;30,00;8421776083523
24922261;34004;Barra ventilador de techo Tilos Faro.;30;0.00;40,00;8421776083530
24922262;34005;Barra ventilador de techo Tilos Faro.;30;0.00;60,00;8421776083547
24922920;33505;Ventilador Lantau G FARO pino iluminaci?n LED 168cm. ?;30;0.00;541,20;8421776143913
24944766;33719;Ventilador Alo FARO negro iluminaci?n LED. 152cm. ?;30;0.00;441,00;8421776144620
24944897;33548;Ventilador Cocos FARO - motor DC luz LED 137cm. ?;30;0.00;586,30;8421776144606
25040752;33702;Ventilador Icaria FARO - Marron 132cm. ?;30;0.00;236,00;8421776116207
25082100;33483;Kit de luz LED de ventilador de techo Typhoon. FARO;30;0.00;92,70;8421776116368
25082116;33484-33486;Kit de luz LED de ventilador Winche. FARO;20;;;
25322531;33750;Ventilador Luzon Faro - blanco sin luz 132cm. ?.;30;0.00;275,00;8421776144637
25322803;33695;Ventilador Mini Icaria FARO Cuero 107cm.?;30;0.00;205,90;8421776143906
25322811;33697;Ventilador Mini Icaria FARO Marron 107cm.?;0;133.00;215,90;8421776143166
25322813;33696;Ventilador Mini Icaria FARO aspa transparente 107cm.?;30;0.00;232,30;8421776143890
25965146;33019;Ventilador Lombok FARO marr?n sin luz 132cm. ?;0;215.00;356,60;8421776330191
25965158;33718;Ventilador Alo FARO sin luz 152cm.?;30;0.00;399,50;8421776144613
25965160;33506;Ventilador Lama FARO - niquel 143cm. ?;30;0.00;414,80;8421776144675
25965166;33507;Ventilador Lama FARO - Negro 143cm. ?;30;0.00;414,80;8421776144682
25965180;33751;Ventilador Luzon Faro - marr?n sin luz 132cm. ?;30;0.00;293,00;8421776144644
25965193;33770;Ventilador Sioux Faro - Motor Dc 132cm. ?.;30;0.00;399,50;8421776145863
25965357;33487;Ventilador Nassau FARO. Blanco motor Dc 128cm.?;0;237.00;396,00;8421776146761
26273132;33346;Ventilador Polaris FARO - Motor DC luz LED 132cm. ?;30;0.00;397,20;8421776149168
26273664;33780;Ventilador Leyte FARO - Motor DC luz LED 137cm. ?;30;0.00;434,90;8421776145917
27104901;34002;Barras para alargar ventilador Andros FARO;0;43.90;60,00;
27104902;34001;Barras para alargar ventilador Andros FARO;30;0.00;40,00;8421776083578
27104903;34011;Barras para alargar ventilador Andros FARO;30;0.00;60,00;8421776116900
27104904;34008;Barras para alargar ventilador Andros FARO;30;0.00;60,00;8421776096080
27104905;34000;Barras para alargar ventilador Andros FARO;0;25.40;30,00;
27104906;34010;Barras para alargar ventilador Andros FARO;0;31.60;40,00;
27104907;34007;Barras para alargar ventilador Andros FARO;0;31.60;40,00;
