"idoxatis";"sku";"nombre";"stock";"pvpventa";"pvprecomendado";"ean"
24240873;266284;Colgante Narisa Schuller ?46cm. Rosa/blanco/cromo;31;0.00;0,00;
24240874;266251N;Colgante Narisa Schuller ?46cm. Rosa/blanco/cromo;35;0.00;0,00;
24240881;266580;Sobremesa Narisa Schuller - Rosa/blanco/cromo;2;240.00;;8435435318833
24240882;266577;Sobremesa Narisa Schuller - Rosa/blanco/cromo;15;0.00;0,00;
24240883;266544N;Sobremesa Narisa Schuller - Rosa/blanco/cromo;13;0.00;0,00;
24240896;266630;Lampara de Pie Narisa Schuller - Rosa/blanco/cromo;7;456.00;;8435435322229
24240897;266695;Lampara de Pie Narisa Schuller - Rosa/blanco/cromo;0;0.00;0,00;
24240898;266616N;Lampara de Pie Narisa Schuller - Rosa/blanco/cromo;4;0.00;0,00;
24240905;266909;Plafon Narisa Schuller ?32cm. Rosa/blanco/cromo;26;192.00;;
24240906;266946;Plafon Narisa Schuller ?32cm. Rosa/blanco/cromo;42;0.00;0,00;
24240907;266973N;Plafon Narisa Schuller ?32cm. Rosa/blanco/cromo;5;0.00;0,00;
24240911;266847;Plafon Narisa Schuller ?46cm. Rosa/blanco/cromo;8;0.00;0,00;
24240912;266866;Plafon Narisa Schuller ?46cm. Rosa/blanco/cromo;22;0.00;0,00;
24240913;266822N;Plafon Narisa Schuller ?46cm. Rosa/blanco/cromo;22;0.00;0,00;
24240922;266369;Lampara Narisa Schuller - Rosa/blanco/cromo;26;264.00;;8435435318772
24422974;569120;Espejo Aurora Schuller - Espejo rectangular pan de plata;32;0.00;0,00;
24423304;593364;Espejo Aurora Schuller - Espejo redondo pan de plata;60;0.00;0,00;
24423383;794172;Espejo Sphere Schuller - Espejo semiesferas cristal;21;0.00;0,00;
24423389;490633;Espejo Love Schuller - Espejo bitono Love cristal;73;0.00;0,00;
24427947;852508;Espejo Rizos Schuller - Espejo marco rizos cristal;23;0.00;0,00;
24455228;654522;Lampara Aqua Schuller - Lampara lineal 3 colgantes;2;0.00;0,00;
24455317;654639;Lampara Aqua Schuller - Lampara redonda 3 colgantes;40;0.00;0,00;
24459317;29-E07/178;Espejo Roma Schuller - 178x80;56;0.00;0,00;
24459414;195627;Espejo Elisa Schuller - Marco espejos 105x74;71;0.00;0,00;
24459503;287506;Espejo N?car Schuller - Espejo 120x80 marco nacar;21;0.00;0,00;
24472638;924713;Espejo Avenue Schuller - Marco Espejo 80x120;79;0.00;0,00;
24590099;783753;L?mpara Rocio Schuller - 3 Colgantes cromo LED;95;0.00;0,00;
26018694;783618;L?mpara Rocio Schuller - Lineal 5 luces Cromo LED;33;0.00;0,00;
27088376;124011;Plafon Quios Schuller - ?46cm. blanco LED.;16;0.00;0,00;
27088512;E-568581;Lampara Anastasia Schuller - colgante ? 50cm. LED;2;242.00;274,00;8435435320577
27088519;568672;Lampara Anastasia Schuller - 3 colgantes ? 62cm. LED;22;0.00;0,00;
27095467;625211;Lampara Flavia Schuller - Lineal 4 bolas LED;7;0.00;0,00;
27095708;625432;Lampara Flavia Schuller - colgante cromo bola LED;21;0.00;0,00;
27095746;625654;Plafon Flavia Schuller - Lampara 4 luces bola LED;4;0.00;0,00;
27095770;625769;Aplique Flavia Schuller - Cromo bola LED;10;0.00;0,00;
27103211;793091;Lampara Sphere Schuller - colores 9 bolas LED;29;0.00;0,00;
27103283;793258;Colgante Sphere Schuller 14 bolas colores LED;0;0.00;0,00;
27590332;793429;Colgante Sphere Schuller - ? 12cm tono laton;42;0.00;0,00;
27590344;793534;Lampara Sphere Schuller - 5 colgantes colores LED;46;0.00;0,00;
27590450;793659;Lampara Sphere Schuller - 4 colgantes colores LED;16;0.00;0,00;
27590517;794017;Plafon Sphere Schuller - Lampara 3 Bolas cromo LED;15;0.00;0,00;
27590758;794025;Plafon Sphere Schuller - Lampara 3 Bolas multicolor LED;20;0.00;0,00;
27590815;794496;Sobremesa Sphere Schuller - ?12cm Tono laton Luz LED;35;0.00;0,00;
27590957;794539;Sobremesa Sphere Schuller - ?20cm Tono laton Luz LED;36;0.00;0,00;
27591646;507939D;Plafon Argos Schuller - Plafon ?40cm espejo Argos - con mando;139;0.00;0,00;
27591647;507939;Plafon Argos Schuller - Plafon ?40cm espejo Argos;139;0.00;0,00;
27763561;793269D;Lampara Sphere Schuller - 14 Colgantes cromo LED dimable;8;0.00;0,00;
27763562;793269;Lampara Sphere Schuller - 14 Colgantes cromo LED dimable;8;0.00;0,00;
30534264;373091;Colgante Varas Schuller - acabado Oro 1 luz LED;24;0.00;0,00;
30534688;373084;Colgante Varas Schuller - acabado cromo 1 luz LED;2;0.00;0,00;
30534988;373075;Colgante Varas Schuller - acabado blanco 1 luz LED;73;0.00;0,00;
30535105;373067;Colgante Varas Schuller - acabado negro mate 1 luz LED;0;0.00;0,00;
30537220;373579;Sobremesa Varas Schuller - Negro mate y oro 2 Luces LED;0;0.00;0,00;
30537227;373581;Sobremesa Varas Schuller - Blanco mate y cromo 2 Luces LED;37;0.00;0,00;
30537237;373599;Sobremesa Varas Schuller - Blanco mate y oro 2 Luces LED;226;0.00;0,00;
30537241;373614;L?mpara de pie Varas Schuller - Blanco mate y oro 2 Luces LED;73;0.00;0,00;
30537244;373629;L?mpara de pie Varas Schuller - Blanco mate y cromo 2 Luces LED;39;0.00;0,00;
30537247;373685;L?mpara de pie Varas Schuller - Negro mate y oro 2 Luces LED;0;0.00;0,00;
30537258;786716;Lampara Colette Schuller - Oro Rosado 60cm ?.  Luz LED;0;0.00;0,00;
30537270;786831;Lampara Colette Schuller - Cromo 60cm ?.  Luz LED;11;0.00;0,00;
30538749;373378D;Lampara Varas Schuller -  Blanco y cromo 11 luces LED - Con Mando;7;0.00;0,00;
30538750;373378;Lampara Varas Schuller -  Blanco y cromo 11 luces LED - Con Mando;6;0.00;0,00;
30538823;373437D;Lampara Varas Schuller - Blanco y oro 14 luces LED - Con Mando;14;0.00;0,00;
30538824;373437;Lampara Varas Schuller - Blanco y oro 14 luces LED;14;0.00;0,00;
30538832;373142D;Lampara Varas Schuller -  Negro mate y oro 5 Luces LED Con Mando;0;0.00;0,00;
30538833;373142;Lampara Varas Schuller -  Negro mate y oro 5 Luces LED;0;0.00;0,00;
30538861;373416D;Lampara Varas Schuller -  Blanco y cromo 14 luces LED Con Mando;15;0.00;0,00;
30538862;373416;Lampara Varas Schuller -  Blanco y cromo 14 luces LED;15;0.00;0,00;
30538873;373123D;Lampara Varas Schuller - Blanco mate y cromo 5 Luces LED Con Mando;78;0.00;0,00;
30538874;373123;Lampara Varas Schuller - Blanco mate y cromo 5 Luces LED;78;0.00;0,00;
30538892;373101D;Lampara Varas Schuller - Blanco mate y oro 5 Luces LED Con Mando;99;0.00;0,00;
30538893;373101;Lampara Varas Schuller - Blanco mate y oro 5 Luces LED;98;0.00;0,00;
30538901;373261D;Lampara Varas Schuller -  Blanco y cromo 9 Luces LED Con Mando;28;0.00;0,00;
30538902;373261;Lampara Varas Schuller -  Blanco y cromo 9 Luces LED;28;0.00;0,00;
30538939;373342D;Lampara Varas Schuller -  Blanco y oro 11 luces LED Con Mando;34;0.00;0,00;
30538940;373342;Lampara Varas Schuller -  Blanco y oro 11 luces LED;34;0.00;0,00;
30538954;373250D;Lampara Varas Schuller -  Blanco y oro 9 Luces LED Con Mando;60;0.00;0,00;
30538955;373250;Lampara Varas Schuller -  Blanco y oro 9 Luces LED;59;0.00;0,00;
30549946;377485;L?mpara colgante Lipse Schuller -  cromo 7L. LED.;18;0.00;0,00;
30550104;377523;L?mpara colgante Lipse Schuller - acabado cromo 5L. LED.;24;0.00;0,00;
30550229;377934;L?mpara espiral Lipse Schuller - 9L. LED.;50;0.00;0,00;
30550304;377101;L?mpara colgante Lipse Schuller - acabado cromo 1L. LED.;13;0.00;0,00;
30550401;773421;L?mpara colgante Elie Schuller - acabado cromo 4L. LED.;6;0.00;0,00;
