TemplateType=Offer	Version=2014.0703																																																																																																																																																																																																																																																														
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
015-224016	10.36	20	8426107005182	EAN	NEW									3																																																																																																																																																																																																																																																		
015-224316	10.36	20	8426107005120	EAN	NEW									3																																																																																																																																																																																																																																																		
015-224416	10.36	20	8426107005212	EAN	NEW									3																																																																																																																																																																																																																																																		
015-102011	11.16	20	8426107010940	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100947	11.2	5	8426107005250	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100807	11.2	20	8426107004505	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100826	11.2	20	8426107060020	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100852	11.2	20	8426107359728	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100898	11.2	20	8426107792358	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101031	11.2	20	8426107005786	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101068	11.2	20	8426107258335	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100950	11.44	20	8426107110794	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100951	11.44	20	8426107109514	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101046	11.6	5	8426107007810	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100808	11.6	20	8426107004512	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100895	11.6	20	8426107779748	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100948	11.6	20	8426107725349	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101030	11.6	20	8426107006929	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101065	11.6	20	8426107852236	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101071	11.6	20	8426107258366	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101151	11.96	20	8426107655271	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101156	11.96	20	8426107655295	EAN	NEW									3																																																																																																																																																																																																																																																		
015-102155	11.96	20	8426107015983	EAN	NEW									3																																																																																																																																																																																																																																																		
015-224040	11.96	20	8426107005137	EAN	NEW									3																																																																																																																																																																																																																																																		
015-224042	11.96	20	8426107005144	EAN	NEW									3																																																																																																																																																																																																																																																		
015-150130	12	5	8426107106421	EAN	NEW									3																																																																																																																																																																																																																																																		
015-200597	12	20	8426107554857	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263140	12	20	8426107015679	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263141	12	20	8426107015686	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263142	12	20	8426107015693	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263143	12	20	8426107015709	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263144	12	20	8426107015716	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100763	12.4	20	8426107932679	EAN	NEW									3																																																																																																																																																																																																																																																		
015-105600	12.6	20	8426107005304	EAN	NEW									3																																																																																																																																																																																																																																																		
015-105601	12.6	20	8426107005311	EAN	NEW									3																																																																																																																																																																																																																																																		
015-209413	12.72	5	8426107105813	EAN	NEW									3																																																																																																																																																																																																																																																		
015-224046	12.76	20	8426107005151	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100928	12.8	20	8426107005335	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100821	12.8	20	8426107074898	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100822	12.8	20	8426107045782	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100823	12.8	20	8426107045799	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112308	12.96	5	8426107695864	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101061	13	20	8426107741240	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100805	13.4	20	8426107004482	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100827	13.4	20	8426107060037	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100912	13.4	20	8426107004888	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366125	13.4	20	8426107006806	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366127	13.4	20	8426107006820	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366129	13.4	20	8426107006844	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263130	13.6	20	8426107015624	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263131	13.6	20	8426107015631	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263132	13.6	20	8426107015648	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263133	13.6	20	8426107015655	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263134	13.6	20	8426107015662	EAN	NEW									3																																																																																																																																																																																																																																																		
