TemplateType=Offer	Version=2014.0703																	
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id
057M-5811	377,94	0	8,43515E+12	EAN	NEW									3					
057M-5792	148,20	23	8,43515E+12	EAN	NEW									3					
057M-5002	290,21	17	8,43515E+12	EAN	NEW									3					
057M-5560	1.840,41	0	8,43515E+12	EAN	NEW									3					
057M-6009	249,71	0	8,43515E+12	EAN	NEW									3					
057M-5987	364,65	20	8,43515E+12	EAN	NEW									3					
057M-1103	50,70	1	8,43515E+12	EAN	NEW									3					
057M-3943	152.1	0	8,43515E+12	EAN	NEW									3					
057M-1803	128,01	34	8,43515E+12	EAN	NEW									3					
057M-5147	128,14	0	8,43515E+12	EAN	NEW									3					
057M-4084	95,55	29	8,43515E+12	EAN	NEW									3					
057M-1810	208,65	4	8,43515E+12	EAN	NEW									3					
057M-3705	116,99	1	8,43515E+12	EAN	NEW									3					
057M-1650	97,50	0	8,43515E+12	EAN	NEW									3					
057M-3771	175,50	0	8,43515E+12	EAN	NEW									3					
057M-1625	152,10	0	8,43515E+12	EAN	NEW									3					
057M-5815	298,98	8	8,43515E+12	EAN	NEW									3					
057M-6036	222,04	8	8,43515E+12	EAN	NEW									3					
057M-6304	89,86	8	8,43515E+12	EAN	NEW									3					
057M-5280	270,66	7	8,43515E+12	EAN	NEW									3					
057M-6006K	307,09	1	8,43515E+12	EAN	NEW									3					
057M-4072	276.9	5	8,43515E+12	EAN	NEW									3					
057M-3620	254,16	0	8,43515E+12	EAN	NEW									3					
057M-5040R	214,29	5	8,43515E+12	EAN	NEW									3					
057M-5761	329,55	7	8,43515E+12	EAN	NEW									3					
057M-6411	234,46	7	8,43515E+12	EAN	NEW									3					
057M-5915	268,61	0	8,43515E+12	EAN	NEW									3					
057M-1900	222,30	3	8,43515E+12	EAN	NEW									3					
057M-6010	276,71	15	8,43515E+12	EAN	NEW									3					
057M-1920	232,05	6	8,43515E+12	EAN	NEW									3					
057M-6573	133,15	21	8,43515E+12	EAN	NEW									3					
057M-0782	249,60	1	8,43515E+12	EAN	NEW									3					
057M-1100	163,80	7	8,43515E+12	EAN	NEW									3					
057M-1100	163,80	7	8,43515E+12	EAN	NEW									3					
057M-0992	27,30	0	8,43515E+12	EAN	NEW									3					
057M-1648	109,20	7	8,43515E+12	EAN	NEW									3					
057M-1172	126,75	3	8,43515E+12	EAN	NEW									3					
057M-4637	72,15	26	8,43515E+12	EAN	NEW									3					
057M-4737	74,10	26	8,43515E+12	EAN	NEW									3					
057M-5864	232,05	30	8,43515E+12	EAN	NEW									3					
057M-3947	58,50	29	8,43515E+12	EAN	NEW									3					
057M-4082	419,02	10	8,43515E+12	EAN	NEW									3					
057M-1544	109.2	8	8,43515E+12	EAN	NEW									3					
057M-1807	52,65	4	8,43515E+12	EAN	NEW									3					
057M-5033	68,54	5	8,43515E+12	EAN	NEW									3					
057M-1645	144,30	1	8,43515E+12	EAN	NEW									3					
057M-3700	214,50	0	8,43515E+12	EAN	NEW									3					
057M-1917	315.9	9	8,43515E+12	EAN	NEW									3					
057M-0770	253,35	7	8,43515E+12	EAN	NEW									3					
057M-5276	106,47	7	8,43515E+12	EAN	NEW									3					
057M-4074	115,05	7	8,43515E+12	EAN	NEW									3					
057M-1630	105,29	8	8,43515E+12	EAN	NEW									3					
057M-6106	682,34	17	8,43515E+12	EAN	NEW									3					
057M-6101	420,12	24	8,43515E+12	EAN	NEW									3					
057M-3869	300,30	29	8,43515E+12	EAN	NEW									3					
057M-3541	222,30	0	8,43515E+12	EAN	NEW									3					
057M-5797	152,10	46	8,43515E+12	EAN	NEW									3					
057M-1430	116,99	5	8,43515E+12	EAN	NEW									3					
057M-3540	245,70	12	8,43515E+12	EAN	NEW									3					
057M-6426	114,12	0	8,43515E+12	EAN	NEW									3					
057M-5461	135,67	29	8,43515E+12	EAN	NEW									3					
